provinsi;kota;satwa;tangkaran;fig
Aceh;Simeulue;29;1;28
Aceh;Aceh Singkil;24;148;-124
Aceh;Aceh Selatan;40;6;34
Aceh;Aceh Tenggara;43;1;42
Aceh;Aceh Timur;48;9;39
Aceh;Aceh Tengah;131;4;127
Aceh;Aceh Barat;40;5;35
Aceh;Aceh Besar;116;16;100
Aceh;Pidie;42;10;32
Aceh;Bireuen;27;27;0
Aceh;Aceh Utara;29;16;13
Aceh;Aceh Barat Daya;26;1;25
Aceh;Gayo Lues;58;1;57
Aceh;Aceh Tamiang;29;10;19
Aceh;Nagan Raya;19;10;9
Aceh;Aceh Jaya;54;5;49
Aceh;Bener Meriah;25;31;-6
Aceh;Pidie Jaya;7;6;1
Aceh;Kota Banda Aceh;3;6;-3
Aceh;Kota Sabang;3;9;-6
Aceh;Kota Langsa;15;12;3
Aceh;Kota Lhokseumawe;2;8;-6
Aceh;Kota Subulussalam;38;4;34
Sumatera Utara;Nias;5;0;5
Sumatera Utara;Mandailing Natal;105;0;105
Sumatera Utara;Tapanuli Selatan;87;12;75
Sumatera Utara;Tapanuli Tengah;88;0;88
Sumatera Utara;Tapanuli Utara;88;172;-84
Sumatera Utara;Toba Samosir;45;4;41
Sumatera Utara;Labuhan Batu;25;27;-2
Sumatera Utara;Asahan;31;16;15
Sumatera Utara;Simalungun;105;31;74
Sumatera Utara;Dairi;60;6;54
Sumatera Utara;Karo;148;22;126
Sumatera Utara;Deli Serdang;118;35;83
Sumatera Utara;Langkat;94;114;-20
Sumatera Utara;Nias Selatan;25;1;24
Sumatera Utara;Humbang Hasundutan;62;4;58
Sumatera Utara;Pakpak Bharat;23;0;23
Sumatera Utara;Samosir;31;1;30
Sumatera Utara;Serdang Bedagai;122;0;122
Sumatera Utara;Batu Bara;25;0;25
Sumatera Utara;Padang Lawas Utara;12;24;-12
Sumatera Utara;Padang Lawas;48;28;20
Sumatera Utara;Labuhan Batu Selatan;42;13;29
Sumatera Utara;Labuhan Batu Utara;72;18;54
Sumatera Utara;Nias Utara;7;3;4
Sumatera Utara;Nias Barat;1;0;1
Sumatera Utara;Kota Sibolga;2;0;2
Sumatera Utara;Kota Tanjung Balai;2;1;1
Sumatera Utara;Kota Pematang Siantar;6;2;4
Sumatera Utara;Kota Tebing Tinggi;2;3;-1
Sumatera Utara;Kota Medan;3;3;0
Sumatera Utara;Kota Binjai;1;5;-4
Sumatera Utara;Kota Padangsidimpuan;16;3;13
Sumatera Utara;Kota Gunungsitoli;9;0;9
Sumatera Barat;Kepulauan Mentawai;338;28;310
Sumatera Barat;Pesisir Selatan;82;2;80
Sumatera Barat;Solok;70;12;58
Sumatera Barat;Sijunjung;182;0;182
Sumatera Barat;Tanah Datar;45;30;15
Sumatera Barat;Padang Pariaman;16;0;16
Sumatera Barat;Agam;31;22;9
Sumatera Barat;Lima Puluh Kota;112;24;88
Sumatera Barat;Pasaman;93;0;93
Sumatera Barat;Solok Selatan;91;54;37
Sumatera Barat;Dharmas Raya;143;47;96
Sumatera Barat;Pasaman Barat;140;8;132
Sumatera Barat;Kota Padang;39;0;39
Sumatera Barat;Kota Solok;2;0;2
Sumatera Barat;Kota Sawah Lunto;8;0;8
Sumatera Barat;Kota Padang Panjang;0;0;0
Sumatera Barat;Kota Bukittinggi;3;0;3
Sumatera Barat;Kota Payakumbuh;13;3;10
Sumatera Barat;Kota Pariaman;1;3;-2
Riau;Kuantan Singingi;69;6;63
Riau;Indragiri Hulu;74;11;63
Riau;Indragiri Hilir;85;37;48
Riau;Pelalawan;127;2;125
Riau;Siak;111;83;28
Riau;Kampar;206;0;206
Riau;Rokan Hulu;211;30;181
Riau;Bengkalis;55;5;50
Riau;Rokan Hilir;116;26;90
Riau;Kepulauan Meranti;61;0;61
Riau;Kota Pekanbaru;13;14;-1
Riau;Kota Dumai;30;3;27
Jambi;Kerinci;76;5;71
Jambi;Merangin;116;15;101
Jambi;Sarolangun;151;10;141
Jambi;Batang Hari;30;17;13
Jambi;Muaro Jambi;45;20;25
Jambi;Tanjung Jabung Timur;122;25;97
Jambi;Tanjung Jabung Barat;212;46;166
Jambi;Tebo;112;4;108
Jambi;Bungo;83;10;73
Jambi;Kota Jambi;4;2;2
Jambi;Kota Sungai Penuh;4;0;4
Sumatera Selatan;Ogan Komering Ulu;80;22;58
Sumatera Selatan;Ogan Komering Ilir;195;212;-17
Sumatera Selatan;Muara Enim;179;18;161
Sumatera Selatan;Lahat;182;35;147
Sumatera Selatan;Musi Rawas;187;59;128
Sumatera Selatan;Musi Banyuasin;136;40;96
Sumatera Selatan;Banyu Asin;273;174;99
Sumatera Selatan;Ogan Komering Ulu Selatan;104;12;92
Sumatera Selatan;Ogan Komering Ulu Timur;118;28;90
Sumatera Selatan;Ogan Ilir;78;9;69
Sumatera Selatan;Empat Lawang;12;0;12
Sumatera Selatan;Kota Palembang;1;5;-4
Sumatera Selatan;Kota Prabumulih;21;8;13
Sumatera Selatan;Kota Pagar Alam;0;1;-1
Sumatera Selatan;Kota Lubuklinggau;6;0;6
;;;;
