;provinsi;budidaya;Penangkaran Satwa/Tumbuhan Liar;Penangkapan Satwa Liar;gap
11;Aceh;17408;346;848;502
12;Sumatera Utara;49226;548;1510;962
13;Sumatera Barat;51083;233;1409;1176
14;Riau;2835;217;1158;941
15;Jambi;16537;154;955;801
16;Sumatera Selatan;37955;623;1572;949
17;Bengkulu;22919;144;847;703
18;Lampung;251083;513;552;39
19;Bangka Belitung;4777;215;500;285
21;Kepulauan Riau;543;36;219;183
31;Jakarta Raya;78;4;1;-3
32;Jawa Barat;1064068;1255;1862;607
33;Jawa Tengah;1872678;413;2145;1732
34;Yogyakarta;263059;70;288;218
35;Jawa Timur;1425591;1548;2582;1034
36;Banten;214660;187;275;88
51;Bali;140674;111;107;-4
52;Nusa Tenggara Barat;93809;179;616;437
53;Nusa Tenggara Timur;416754;675;1925;1250
61;Kalimantan Barat;20581;279;3630;3351
62;Kalimantan Tengah;35700;309;3515;3206
63;Kalimantan Selatan;8788;152;1159;1007
64;Kalimantan Timur;10444;230;1354;1124
65;Kalimantan Utara;2603;43;2475;2432
71;Sulawesi Utara;42992;64;985;921
72;Sulawesi Tengah;25596;239;65;-174
73;Sulawesi Selatan;175704;149;676;527
74;Sulawesi Tenggara;88222;142;1070;928
75;Gorontalo;10693;7;282;275
76;Sulawesi Barat;20733;16;600;584
81;Maluku;12666;0;3765;3765
82;Maluku Utara;4250;24;498;474
94;Papua;15342;2919;15474;12555
91;Papua Barat;2545;139;5732;5593
